,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max,Sample Size
0,0.5538500000000001,0.425,0.6866666666666666,0.5474166666666667,0.375,0.6733333333333333,0.5415666666666666,0.3466666666666667,0.66,0.5866000000000001,0.44166666666666665,0.6883333333333334,5
1,0.61405,0.5016666666666667,0.6716666666666666,0.6151833333333334,0.4033333333333333,0.69,0.6063833333333333,0.4483333333333333,0.6883333333333334,0.6448999999999999,0.515,0.695,20
2,0.6362000000000001,0.5616666666666666,0.6816666666666666,0.6550500000000001,0.58,0.705,0.6283666666666666,0.5366666666666666,0.69,0.6546,0.6066666666666667,0.6933333333333334,40
3,0.6410833333333333,0.575,0.68,0.6771666666666667,0.5916666666666667,0.7316666666666667,0.6395000000000001,0.5633333333333334,0.6983333333333334,0.6611,0.61,0.6866666666666666,60
4,0.6457166666666666,0.5883333333333334,0.6833333333333333,0.7001833333333333,0.6533333333333333,0.7533333333333333,0.6460999999999999,0.5716666666666667,0.6933333333333334,0.6632333333333332,0.6183333333333333,0.6983333333333334,80
5,0.6444333333333333,0.5983333333333334,0.675,0.7183333333333333,0.6783333333333333,0.7466666666666667,0.6501333333333333,0.5616666666666666,0.7016666666666667,0.6658666666666666,0.5966666666666667,0.7016666666666667,100
6,0.6449166666666666,0.615,0.6766666666666666,0.726,0.6766666666666666,0.7616666666666667,0.6531333333333335,0.59,0.6933333333333334,0.6693333333333336,0.6283333333333333,0.715,120
7,0.6470333333333333,0.6066666666666667,0.6883333333333334,0.7422833333333334,0.69,0.7716666666666666,0.65885,0.59,0.715,0.6674666666666667,0.64,0.7016666666666667,140
8,0.6466500000000001,0.605,0.6783333333333333,0.7587166666666666,0.725,0.7966666666666666,0.6589500000000001,0.5866666666666667,0.7016666666666667,0.6715333333333333,0.6433333333333333,0.7066666666666667,160
9,0.6482166666666666,0.61,0.6766666666666666,0.7674666666666667,0.7316666666666667,0.7966666666666666,0.6629166666666666,0.5766666666666667,0.7233333333333334,0.6707000000000002,0.6366666666666667,0.715,180
10,0.64935,0.6083333333333333,0.6766666666666666,0.7801499999999999,0.755,0.8066666666666666,0.6646666666666665,0.6033333333333334,0.705,0.6699833333333334,0.63,0.7016666666666667,200
11,0.6493666666666665,0.6116666666666667,0.6866666666666666,0.7937166666666665,0.7666666666666667,0.82,0.6656333333333333,0.6183333333333333,0.7016666666666667,0.6709833333333333,0.635,0.705,220
12,0.6488333333333333,0.615,0.68,0.8037833333333334,0.7766666666666666,0.825,0.6719833333333334,0.5733333333333334,0.715,0.6735666666666666,0.64,0.7033333333333334,240
13,0.6512833333333334,0.6233333333333333,0.6833333333333333,0.8144166666666667,0.785,0.835,0.6713666666666666,0.6216666666666667,0.7083333333333334,0.6725999999999999,0.6366666666666667,0.7033333333333334,260
14,0.6507166666666666,0.5983333333333334,0.68,0.8261666666666666,0.8016666666666666,0.8516666666666667,0.6689833333333332,0.6116666666666667,0.715,0.6742,0.64,0.7083333333333334,280
15,0.6513833333333333,0.62,0.68,0.8376500000000001,0.815,0.8616666666666667,0.6720000000000002,0.615,0.715,0.6726499999999999,0.6366666666666667,0.705,300
16,0.6481166666666668,0.6166666666666667,0.68,0.8440166666666665,0.8233333333333334,0.8666666666666667,0.6760833333333334,0.635,0.7183333333333334,0.6778,0.635,0.7083333333333334,310
17,0.6514,0.615,0.6766666666666666,0.8482000000000001,0.8283333333333334,0.8716666666666667,0.6763333333333332,0.6166666666666667,0.7066666666666667,0.6730000000000002,0.6366666666666667,0.705,320
18,0.6481833333333333,0.6183333333333333,0.6766666666666666,0.8549666666666665,0.8366666666666667,0.8716666666666667,0.6749166666666666,0.635,0.705,0.6783666666666666,0.6383333333333333,0.7133333333333334,330
19,0.6489166666666668,0.6133333333333333,0.68,0.8621,0.835,0.88,0.6744666666666664,0.6216666666666667,0.705,0.6756833333333333,0.6383333333333333,0.71,340
20,0.6501166666666667,0.6066666666666667,0.6866666666666666,0.8647333333333331,0.8316666666666667,0.89,0.6764166666666668,0.625,0.725,0.6771166666666666,0.6316666666666667,0.7116666666666667,350
21,0.6503833333333333,0.6133333333333333,0.6733333333333333,0.8707666666666668,0.85,0.8933333333333333,0.6756833333333335,0.6283333333333333,0.7083333333333334,0.6773666666666667,0.6366666666666667,0.7116666666666667,360
22,0.6496500000000002,0.6166666666666667,0.675,0.8763000000000001,0.8483333333333334,0.8966666666666666,0.6764999999999999,0.6183333333333333,0.7166666666666667,0.6748333333333332,0.635,0.7083333333333334,370
23,0.6479666666666667,0.6116666666666667,0.6766666666666666,0.8816333333333333,0.8616666666666667,0.9066666666666666,0.6778833333333334,0.625,0.7133333333333334,0.6774,0.6383333333333333,0.7083333333333334,380
24,0.6490833333333331,0.6116666666666667,0.6866666666666666,0.8881999999999998,0.8633333333333333,0.905,0.6786,0.6133333333333333,0.7116666666666667,0.674366666666667,0.64,0.7016666666666667,390
25,0.6511166666666665,0.6133333333333333,0.675,0.8929500000000004,0.8666666666666667,0.9183333333333333,0.67745,0.6383333333333333,0.7233333333333334,0.6738166666666665,0.6366666666666667,0.71,400
