,Unnamed: 0,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max,Sample Size,Accuracy v,min v,max v
0,0,75.46819047800855,58.89133245048512,87.6517370652545,87.3792269443674,73.4164555717196,97.95959111962496,85.84117426013765,70.15855453839636,97.38535519913,80.89924002474737,64.41225963664587,94.64838893164418,5,68.28503057223575,54.091951672434234,100.0
1,1,56.15698792131687,44.42478468110553,71.53156792314867,77.80752881400569,55.275664624151474,90.3253257330378,77.33336219517452,53.428943193008735,90.28821448681352,67.4732742781713,48.57888035053672,84.3817380358507,10,45.58866133079985,31.417498598718364,71.74478288020417
2,2,46.329139385996186,37.63207676821755,55.79382167545365,76.03459368850241,61.66819868839505,88.22797661309882,74.03840566439789,61.10311339412426,83.0334762173821,61.59015143494741,50.179901669522586,73.01767219304296,20,36.869761139961795,28.67652529739762,47.58219409810786
3,3,42.80394589925526,35.65827348512422,54.42178687276393,73.93156642385425,63.635769398711325,81.30088317190575,72.61560070351993,57.23061718790776,80.62088548414596,59.85825972649725,49.05987539622433,68.9183203856056,30,33.57238997014427,28.48816623433401,45.45521336210307
4,4,41.02499644265465,35.76315578716111,46.7435757184232,72.64158760496029,62.38406544412192,82.45353959178236,72.16152505863018,62.186732417266,80.82283455597002,59.94095653717867,49.95352029091806,67.69323602452468,40,32.02978939712191,27.929911416556152,40.024593887067645
5,5,39.18781408620319,33.112395737566565,43.98228780816504,73.15191536477683,59.54510899899258,79.82626528431796,71.35540599483964,61.68891819287157,78.17375220368854,58.53699752647938,48.82850000166413,65.70339242141723,50,31.224524447850243,27.06988397358736,38.26089809967301
6,6,38.37352003861047,33.19077874562084,44.23177092431696,71.7742283667447,60.95726649647968,78.7342824077761,71.38324915211274,63.82841568657071,77.86817343768608,57.81343410901711,49.68970459291647,66.29161742462058,60,30.656875968260284,26.545593104898856,37.71214560493368
7,7,37.32066460318418,33.512242567950025,42.44873281534477,72.01320876790693,64.73927537925606,77.47381697416684,70.93357273853819,63.695770249309945,78.15308867703375,57.60956655215182,49.5634375811855,64.02529349140099,70,29.96459424278828,26.887893038533218,36.68299289868146
8,8,37.01824094562571,32.19791254011839,43.70387813609111,71.78027285843017,65.07313276949534,77.11475733416387,71.2225804375903,64.49414978314812,77.24406314102595,57.07194275398099,47.73308270812038,64.13537336755601,80,29.229424522438197,26.646797792615285,34.34383745797853
9,9,36.79087298890518,33.19685828390929,41.32623528987425,71.69793066282398,64.00734399195223,76.9920698880999,70.96597649488267,66.54364381445107,75.96966566768855,57.388064276374806,51.33558972780467,62.89590698174462,90,29.19026281485479,26.446557997700225,33.59211110000959
10,10,36.38275389483356,32.23459605070788,39.51197502536613,71.21022702392249,66.47531994130131,77.49147147090542,70.480097003774,61.13860804904863,74.93549845284151,57.43593250956835,49.56714773863001,63.39506399304271,100,28.96433503375758,26.312793162125164,34.37559564438009
