,Unnamed: 0,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max,Accuracy v,min v,max v
0,0,5,56.84568343080321,53.352981818199,60.73768224024223,62.823301255211874,54.76991524512216,100.0,61.45494261150732,55.08020036553671,68.39894472385465,58.40706283467431,53.11201585537824,66.71047129764018,69.58397718852098,54.64792795977718,100.0
1,1,10,30.759504901471544,28.663051659464973,34.20817903604456,39.69986657736271,31.76381917733523,59.66570483758036,37.87925655055966,31.82538220035149,44.685192171591545,34.19853734475642,30.64126478948053,38.33842329713696,46.209330713458996,34.094822493982996,64.73230235408074
2,2,20,18.55019503042172,16.62050147456151,21.99895123861281,30.41568268272499,21.33197143580461,53.87189502585373,27.231126599297035,22.20088717643173,31.733728941393625,23.0066724522973,20.42160064614089,25.839016141281164,36.11882570120311,27.947875204094192,47.38674947139215
3,3,30,14.363002734011168,12.44961508316302,16.328953645544253,27.815440983318336,17.928901949475616,49.02652888054032,23.778459436951856,19.68873245277636,29.5764364580862,19.666939007733845,17.462895332612995,21.47028912129818,33.48759490049523,28.17047171066438,42.90377031758081
4,4,40,12.330638863065747,11.213885723924044,13.5721606021176,26.673369830742864,16.870643616733396,45.753552376281945,21.795560511030438,17.920947175749056,26.913100365186786,17.88042156451026,15.42933189223253,20.30361495127362,31.895004688598302,26.488482280883076,41.03946376978384
5,5,50,11.041797319673854,9.920378807081915,12.68095707473611,24.73113509269793,17.316449843752345,45.52608957649144,21.11734145810441,17.619172214814732,25.05626237633874,16.805045667343713,14.122623389774423,18.424705930201263,31.090431346571922,27.52096361552322,36.547718612999724
6,6,60,10.224689646550456,9.371118316866594,11.639887533706675,24.7128248081755,15.55296279158393,42.86037355168028,20.056560127969423,16.042552745674936,23.53811335602985,16.067004154349437,14.747665592231824,18.445838670708405,30.479058666089124,26.611869896576955,38.00610675116538
7,7,70,9.632660593943433,8.777203146011454,10.9973853329342,24.616625060265093,16.574062775677934,39.41973911095044,19.28376340685566,15.211046070264722,22.868667021414545,15.494905609598758,13.765771768633028,17.442520949338498,29.89084026709769,26.765326026671076,38.62617763782945
8,8,80,9.162384554129249,8.322501425314972,10.410486152571629,23.52958026830832,16.748822990210904,44.4060144088377,18.868819451594995,15.387276730540572,22.25317073345286,15.217167798876735,13.869090277624618,16.731579537417257,29.41355940807001,26.838163088567708,34.603492726637256
9,9,90,8.839437721008133,7.805762711579021,9.861070917269062,23.28916721228794,16.435182411436113,38.11042283498929,18.96496176440557,16.318670867676143,23.000806694434672,14.856895770266703,13.51264919209714,16.710027770268645,29.097109590637874,26.412432718429002,34.564914121133086
10,10,100,8.473986090192419,7.768619745444691,9.44038632138342,23.123608931878675,15.873635291345895,37.03853994706648,18.5740492036269,16.02239572066958,21.816117158522736,14.666286408585025,13.010320925644706,15.95321895666709,28.823305096332515,26.151924555973395,33.069216422694566
