Run,A1AG2,AFM,AHSG,ANT3,AOC3,APOB,ATRN,BTD,C20orf3,CADM1,CD163,CD44,CDH5,CFH,CFI,CLU,CP,CTSD,DKFZp686N02209,DSG2,ECM1,F11,F5,FCGBP,FETUB,FGG,FHR3,FN1,HP,HRG,HYOU1,ICAM1,IGFBP3,IGHA2,IGHG2,ITIH4,KLKB1,KNG1,LAMP2,LCN2,LGALS3BP,LRG1,LUM,LYVE1,MMRN1,MPO,MRC2,MST1,NCAM1,ORM1,PGCP,PIGR,PLTP,PLXDC2,PON1,PRG4,PROC,PTPRJ,Q5JNX2,SERPINA1,SERPINA3,SERPINA6,SERPINA7,THBS1,TIMP1,VTN,VWF,Condition
CRC_P1A10,14.2381567914975,16.1030189376507,19.9517923927295,17.2079355068219,10.0321691232893,15.5447735998301,14.3833875752121,16.2830711825046,10.6677793783919,9.65302890749764,10.9496492430689,9.95673639296769,8.7655055817134,17.2618616449706,16.5260674321575,19.3264161420969,16.9973687463667,9.27567533414458,20.7029491053126,10.2251735452416,13.1141954337586,14.8150951255103,12.2321388420657,12.3818906890947,13.2970365557193,11.3495413820162,11.5215362967164,12.5516942596954,19.7476705050228,17.475242834474,7.51424458877335,9.09487677654344,10.9204444942778,18.9057303284217,22.1059711868997,15.6460417289235,14.1248894324833,17.655076011314,13.6816002775211,9.44654089471566,14.8214753068342,13.9612706799892,14.9919282633226,11.8675870125416,11.3938519535616,9.72669730539077,10.8684170741269,12.9611598701189,9.90581542260263,16.7417864757124,8.37973944827542,9.73613753018821,11.85560106681,10.052553524253,16.870468186698,11.8446319010942,11.1119126776084,9.75894556520095,19.0281303430908,18.0610912594085,14.2180359767309,15.7968486514725,13.581848279851,13.9956856607322,11.5787539937748,12.0813518667297,10.6610306887229,CRC
CRC_P1A2,15.0241110653033,16.0207143491298,19.7159185161353,17.2978998552903,9.03414408557885,15.131883255569,13.9817233116794,16.2491889694367,10.7032793804748,9.62499086494112,10.834485875502,10.4257498440612,9.07249509542059,17.267620239436,16.8625552442847,19.4044409115359,16.2241117500217,10.8657678102885,21.8602673121174,10.0461045754035,12.5689287271433,14.7116170679012,12.1480892432392,11.6876332732831,13.5023465926362,12.1919239329282,10.737142507653,13.4717605455231,20.1254324643586,17.9598981123538,7.90767781879541,9.25642481651997,10.35622228285,21.0468810637633,22.4480394971006,15.3670931877718,14.1917230396939,16.986006784302,13.4869218895753,10.6234875508861,15.1281227858371,14.0864532388768,15.4158156619457,11.7138976713689,11.1579061629543,10.2000608797175,10.0143422037518,13.0992183180425,10.4964985189517,17.2499423857929,8.40648733078922,9.41967211804455,11.5427284610628,9.97548934835173,16.5542816083551,12.4958319766573,11.1103452208859,9.93452047544913,19.8625362200089,17.610188024314,14.8323266650933,15.8153969232602,13.138444953257,13.7077143350006,11.9609741481935,12.8384068826839,10.7784315512917,CRC
CRC_P1A4,15.6313635025343,16.1438000778335,19.7108486099035,17.5962544399867,10.3818803202646,15.9553019122626,14.6353545123728,16.4991584483957,11.1838730603829,10.3231909065469,11.223851107257,11.0275930711147,9.48009471648603,17.9886781159864,17.205505502613,19.5374635459255,17.7564045776972,10.0298620620963,21.8424870811884,11.1147941272925,13.6576629150814,15.5612161444648,12.8078889784827,12.4029117031766,13.5568843314661,11.4995181431083,11.5690066216599,12.3653634234414,20.7850159766288,17.5753394036268,8.65634770586539,9.37248657155589,11.6186978149392,18.8787646807189,22.9517293745318,16.4014053890874,14.0921458617799,17.3920579814615,14.1221167489782,10.0242253789144,14.2093877202424,15.0531046524746,15.0636904738436,12.198175254394,11.7311618625976,9.79277705332731,10.5603787401491,14.1126620765151,10.5217229644666,18.4152407570852,8.24194120232589,9.30221732326336,12.1533791302576,9.82438915381323,16.3450813858166,11.7009612954482,11.5321268899071,10.32831903556,19.5017727580436,18.5399723346188,15.3087259044414,16.4017696689434,13.7423301744222,15.6369621099309,12.1558422819014,12.3131547752562,11.185271438446,CRC
CRC_P1A6,15.4013648120832,16.2764150740028,19.7043765061108,17.4225039595664,9.5029597412374,15.7149318770025,14.0606998788447,16.277732213955,9.97298246194138,9.99420944490894,11.1772323514274,11.1037524190477,9.87317327876512,18.1742310493484,17.5256668098135,19.3831323718532,18.053659885166,10.2038260872865,20.7048786940927,10.9581261723017,13.5451987491223,15.9538954999282,13.1892577600058,13.039919921811,13.1274189903443,11.8718924227802,13.403194702322,12.1777038758274,21.8735775489061,17.3891615393819,8.89156075728444,9.73234045550722,11.4252584398964,20.899316073507,22.9342203895241,16.1881740334794,13.4818265007596,17.8238882187755,14.4111080445936,10.1094051219675,14.8709438743601,14.9235201668434,14.6099932967369,11.7782798707171,11.9502516370541,10.7593477666048,10.0210258964286,13.9237701695188,10.3850962207972,18.0902383609175,9.11053393861794,9.41274028717021,11.1910065690633,9.85859043102373,15.4608316510062,11.0970616394752,11.6908333804064,9.74105909446455,19.9846638322053,17.4014135860475,14.254240611787,16.3104908425289,13.9368944580737,15.5172683572718,12.3792654429917,10.6791659476624,10.8878553529261,CRC
CRC_P1B12,16.0031576502316,16.9582073268198,20.4203343641559,17.9881994330811,9.64850185029285,16.2473304294349,14.2035953798109,16.5414221005411,12.5815558516297,9.60749183697123,12.2311143623118,11.1666002093394,8.53813825408279,18.8221945552759,18.473440464631,20.1940530969834,16.2366904403813,10.9412202917055,21.1850412111628,10.8799053836612,13.3676602472244,15.9884331813297,12.5416242827795,13.2384173514165,14.9530506772488,11.590579403708,12.560192424869,14.1029649737544,22.7978906655311,17.9518337504542,8.12611085289682,9.88887086123726,10.174624254438,21.2631648279611,21.2614460852396,15.8770885093958,15.1999688652697,17.9521842381052,15.1772956232322,11.0524349529322,16.5574299220437,16.4695278710357,15.9339306274518,12.921010945376,12.3347474255566,11.7509435822835,11.4193178422054,13.1071784160313,10.517894003642,18.2809969610494,8.7833345558941,11.3891952755506,12.1259972568217,10.4042010003074,16.4601522427948,14.4669081786048,10.6987076401413,10.5680640694302,20.4674529415339,17.4480077128957,16.2319108709244,16.4858334505697,14.1671337127281,15.1291059320616,12.16911557455,14.5061063797281,11.2541751609445,CRC
CRC_P1B2,13.9324236239736,16.527715039977,19.889851252032,16.3249299847631,9.52243753226623,14.5186161593956,13.7016543114286,15.7919579423374,10.5799292086527,9.11636209802085,12.2128923268503,8.03864271065597,9.22807344834261,16.1399083790056,16.94725886376,18.9090480373604,16.3473607596672,11.8581809912228,21.7723119456066,10.2333456381857,9.91598821074984,14.6972388827424,11.6290683236998,12.6998598209472,13.1905118620531,10.6814678048167,10.0557012978193,11.8143192142996,20.7128377721247,16.7639546507008,8.86695834434224,9.06236064039884,9.52737433277088,21.9266137806748,21.0071221546713,14.9438562161989,13.208655266068,17.3935826243614,13.948262881251,9.35512088732524,16.2833971116377,14.4963700519886,14.4763321601295,12.4513210179269,11.6884491671668,9.85873003961154,10.9171137121765,13.3776111653797,9.85480856454913,17.0272348622766,8.36894248274656,9.45802098159563,11.3582439425547,8.38728301411732,14.4748463180906,11.8502263418222,9.4720438727057,9.92227071026951,18.1420390565419,17.9521673778862,12.6072861339165,15.2965914640657,13.2340335966492,15.3978994348109,12.5272879116886,11.5306774032108,11.0350143306824,CRC
CRC_P1B3,14.3415490080321,16.4302863274168,20.1005958194023,17.3827773309678,9.71928837599889,14.6857215237361,13.3275060163714,16.4152449965213,11.4478416696967,9.49110275734009,11.4826387554571,11.5479390304633,8.92511203022179,18.0836714243104,17.1821569021255,19.7634414578202,16.308054132354,11.1678581027387,20.4511326842579,10.263530342201,13.2021956073192,15.38276121627,12.61795135941,13.2306651487903,13.6759643737223,12.0591186963895,10.0876163992075,12.6081393165935,21.5257879348838,17.2202534318084,8.87326144953272,9.86301013960238,10.8021867589934,21.8224350843165,21.2442449620466,15.5260333840496,13.2593727355938,17.8268534010994,14.1430927227545,8.66251928536653,15.4704828904389,14.4907655707495,14.9883363699676,11.9638884697058,11.9039018509272,10.3641208871338,10.5650006732388,13.5917339475397,10.2609076205966,17.4216108273742,9.01617440258055,9.00407708653773,11.232763229947,10.3444427938185,14.1135051887272,11.6030423019292,11.0171050299884,10.6149005956924,19.3104354312484,17.7672499619736,13.9416141887908,15.4651084502551,13.6439038388101,15.6868168913562,12.8336265338204,11.5933267714769,11.7102072134215,CRC
CRC_P1B6,13.5708573347924,17.1105251330205,19.9383347253971,17.2959715735803,8.79123577853408,14.9256484782141,12.6779273532793,16.1230204640579,10.7813071858669,8.871205089014,10.8836592614748,10.4953832028478,7.8815000603625,18.0761660311728,17.6477063999098,19.7795585993896,14.5939417630108,10.0637489368918,20.0443657039634,10.7862356693708,13.7010301230338,15.0644595095216,12.9959514642335,12.4030838194474,14.0171621758569,10.2848061629243,12.435414147669,14.082408159506,21.5425589790084,17.5128827809064,8.32502215325177,8.77132431392163,9.34713033236793,21.0292564760458,20.3661819016843,14.601814618412,13.6214291298108,17.0230194133665,14.4625925877743,10.5582297496898,15.3497468681336,14.5125847598472,15.0766554311905,10.7691714117027,11.2188694113818,12.5954803146382,11.1428865961694,12.378890981938,10.7523273388083,15.6291058074129,8.13967533506388,10.1342394438714,10.970560266512,10.1767519089191,15.3366188175288,12.6002349700989,10.0748546423302,9.38274155961864,20.6677948066646,16.3741324644988,14.2573612456105,14.9775848465915,13.5706470215133,16.1830284916834,11.9136788499944,13.0129986003006,11.7595927677184,CRC
CRC_P1B9,15.8334791641773,15.8818925993712,18.6427032733057,16.6801509711019,8.94222926257062,14.6916952778747,13.1590770435766,15.5669268764075,11.5759371058624,9.87364942824478,12.049672898503,11.678175795303,9.1026449835395,18.3867761307236,17.4141191051925,19.2537091208558,17.5099842470221,11.658336754072,21.0155841287652,10.4825727062311,13.8674348135711,15.5869387566382,12.9645554662303,12.54797247156,13.8972005356499,10.4676970283101,11.2298008138555,11.7506684406414,21.6423270296492,17.4839922957819,8.43555762316046,10.4550137946759,9.81964436815923,21.6116808499173,21.8009302649509,15.9139085788769,12.9126300655582,17.7649244247903,14.1067259017728,10.2130268592856,15.1528509448834,15.8144955852061,14.5704074866258,12.3277657906403,12.1040252861774,10.3400543540669,9.88243525418027,12.7386770192141,10.2877117186801,18.9150545210298,7.26342399275025,10.5973851084681,11.3409719954204,9.64287133812281,14.7271808941821,11.3825077212479,10.1932796901323,9.84025132361256,19.1725343731816,18.5423998614617,15.4142734954293,15.3594646912694,13.3762051340253,12.7593941560285,13.2380370114943,11.3001105720194,10.8242792904285,CRC
CRC_P1C11,15.3799635185276,16.2262055189905,20.0999227752369,17.5614865061085,10.2563436954417,15.947601163146,14.6628975142386,16.491377508413,11.363036456189,10.1550531496634,11.1095347033562,10.6695583380673,9.62494644566601,18.056300871808,17.6006406083053,19.5523805182718,17.8223330252356,10.484316527631,22.2138229280964,11.187517771642,13.6163696785445,16.1020126964163,13.3595062776213,12.2506986055668,13.8579485479248,12.0650053913138,12.0399238873156,12.7592465221381,21.9468482906369,17.9663866126491,8.77318847387123,9.36476698337172,10.8454296432718,22.2138948366346,22.4065997168914,16.6164975795947,14.5250960782333,18.187254857979,13.8774582561372,9.97793366882784,14.4221494842526,14.9790822909454,15.4743763324543,12.2661517712247,12.0603472269505,9.70235075033502,10.3750383593998,13.9284497403128,10.7830027942384,17.9728318271294,8.36396385072051,9.28822269088382,11.9231914298197,9.59375909352154,16.2976970838228,12.3024025614955,12.4476397268878,9.70963078388855,19.9287835074069,18.8748459693293,15.0579758984102,16.2405583623885,13.8100161226509,14.7218281280813,12.121006501581,12.6090470687587,11.1213054050575,CRC
