,agA_name,agB_name,agA_ns,agA_id,agB_ns,agB_id,residue,position,stmt_type,evidence_count,stmt_hash,belief,source_counts,initial_sign
56,NPM1,TP53,HGNC,7910,HGNC,11998,,,Complex,1,19370888247419276,0.65,{'sparser': 1},
57,NCL,NPM1,HGNC,7667,HGNC,7910,,,Complex,1,19370888247419276,0.65,{'sparser': 1},
58,NCL,TP53,HGNC,7667,HGNC,11998,,,Complex,1,19370888247419276,0.65,{'sparser': 1},
59,TP53,NPM1,HGNC,11998,HGNC,7910,,,Complex,1,19370888247419276,0.65,{'sparser': 1},
60,TP53,NCL,HGNC,11998,HGNC,7667,,,Complex,1,19370888247419276,0.65,{'sparser': 1},
67,NPM1,NCL,HGNC,7910,HGNC,7667,,,Complex,1,-4995262398571709,0.65,{'sparser': 1},
68,NPM1,ZNF746,HGNC,7910,HGNC,21948,,,Complex,1,-4995262398571709,0.65,{'sparser': 1},
69,NCL,NPM1,HGNC,7667,HGNC,7910,,,Complex,1,-4995262398571709,0.65,{'sparser': 1},
70,NCL,ZNF746,HGNC,7667,HGNC,21948,,,Complex,1,-4995262398571709,0.65,{'sparser': 1},
71,ZNF746,NPM1,HGNC,21948,HGNC,7910,,,Complex,1,-4995262398571709,0.65,{'sparser': 1},
72,ZNF746,NCL,HGNC,21948,HGNC,7667,,,Complex,1,-4995262398571709,0.65,{'sparser': 1},
73,NPM1,NCL,HGNC,7910,HGNC,7667,,,Complex,1,27704680535713995,0.65,{'sparser': 1},
74,NPM1,KRAS,HGNC,7910,HGNC,6407,,,Complex,1,27704680535713995,0.65,{'sparser': 1},
75,NCL,NPM1,HGNC,7667,HGNC,7910,,,Complex,1,27704680535713995,0.65,{'sparser': 1},
92,MTA1,NPM1,HGNC,7410,HGNC,7910,,,Complex,1,-32292108261690258,0.65,{'sparser': 1},
