source_hgnc_id	source_hgnc_symbol	relation	target_hgnc_id	target_hgnc_symbol	stmt_hash	evidence_count	source_counts
14064	HDAC6	IncreaseAmount	24098	SORBS2	-31140386181964226	1	"{""reach"": 1}"
9077	PLK1	IncreaseAmount	16909	NDC80	26670686846158268	2	"{""reach"": 2}"
12401	TTK	DecreaseAmount	16909	NDC80	-24164342274200731	1	"{""medscan"": 1}"
76	ABL1	DecreaseAmount	3338	CTTN	4774006588330654	1	"{""medscan"": 1}"
14064	HDAC6	IncreaseAmount	3338	CTTN	27998829882394059	8	"{""reach"": 8}"
14064	HDAC6	DecreaseAmount	3338	CTTN	23336052398282367	9	"{""medscan"": 8, ""reach"": 1}"
12735	WASL	IncreaseAmount	3338	CTTN	-33210471714939917	1	"{""reach"": 1}"
12691	EZR	IncreaseAmount	3338	CTTN	5965950890350913	1	"{""reach"": 1}"
678	ARHGDIA	IncreaseAmount	1736	CDC42	7185923067420352	2	"{""reach"": 2}"
678	ARHGDIA	DecreaseAmount	1736	CDC42	19373132277653798	2	"{""reach"": 2}"
3338	CTTN	IncreaseAmount	1736	CDC42	-13764709341140468	1	"{""reach"": 1}"
3338	CTTN	DecreaseAmount	1736	CDC42	-22580881251779431	1	"{""reach"": 1}"
32594	PREX1	IncreaseAmount	1736	CDC42	-26501590730034700	1	"{""sparser"": 1}"
28611	RICTOR	DecreaseAmount	1736	CDC42	30031416294152449	1	"{""reach"": 1}"
28611	RICTOR	IncreaseAmount	1736	CDC42	27359707609172872	1	"{""reach"": 1}"
26099	ARHGAP10	DecreaseAmount	1736	CDC42	573370198151259	2	"{""medscan"": 2}"
21740	FGD6	IncreaseAmount	1736	CDC42	-3122289572632231	1	"{""reach"": 1}"
21740	FGD6	IncreaseAmount	1736	CDC42	1713425398791306	1	"{""reach"": 1}"
19125	FGD4	IncreaseAmount	1736	CDC42	-26421724996492125	2	"{""reach"": 2}"
166	ACTN4	DecreaseAmount	1736	CDC42	-10095629547156557	1	"{""reach"": 1}"
13339	KIF4A	IncreaseAmount	1736	CDC42	-8568379944195628	1	"{""reach"": 1}"
7745	NEK2	DecreaseAmount	583	APC	-14866574137487324	1	"{""reach"": 1}"
971	BCAR1	DecreaseAmount	7664	NCK1	-436343886507939	1	"{""medscan"": 1}"
7665	NCK2	DecreaseAmount	7664	NCK1	65057201052087	1	"{""reach"": 1}"
14064	HDAC6	DecreaseAmount	12691	EZR	11662711240859642	1	"{""reach"": 1}"
994	BCL2L11	IncreaseAmount	76	ABL1	28177817319136051	1	"{""reach"": 1}"
7733	NEDD9	DecreaseAmount	76	ABL1	-33987569823369867	1	"{""medscan"": 1}"
24098	SORBS2	DecreaseAmount	76	ABL1	31570488856368987	1	"{""medscan"": 1}"
1014	BCR	DecreaseAmount	76	ABL1	15652383094204740	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	14082	ANLN	-3469022528614728	1	"{""medscan"": 1}"
1722	CDK1	IncreaseAmount	14082	ANLN	28316670056009051	1	"{""reach"": 1}"
583	APC	IncreaseAmount	11805	TIAM1	-21117905202327658	1	"{""reach"": 1}"
1736	CDC42	IncreaseAmount	11805	TIAM1	13325927363633418	1	"{""reach"": 1}"
9718	PXN	IncreaseAmount	166	ACTN4	7710793890690368	1	"{""medscan"": 1}"
593	BIRC5	DecreaseAmount	6058	INCENP	32906154455586651	1	"{""medscan"": 1}"
1148	BUB1	IncreaseAmount	6058	INCENP	-28593853886041537	1	"{""reach"": 1}"
1736	CDC42	DecreaseAmount	11148	FSCN1	9337836015903544	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	29616	CNTROB	31969425282020574	1	"{""medscan"": 1}"
7745	NEK2	DecreaseAmount	29616	CNTROB	-8817603884807842	2	"{""medscan"": 2}"
8727	PCM1	IncreaseAmount	14906	NIN	-23452590061870528	1	"{""reach"": 1}"
7765	NF1	DecreaseAmount	8148	OPHN1	-19004374358570530	1	"{""biopax"": 1}"
10251	ROCK1	IncreaseAmount	6759	MARCKS	14323692385477275	1	"{""reach"": 1}"
7765	NF1	DecreaseAmount	13727	RANBP9	276121551224771	1	"{""biopax"": 1}"
14064	HDAC6	IncreaseAmount	13727	RANBP9	-24113447310581074	1	"{""reach"": 1}"
3754	FLNA	IncreaseAmount	9009	PKD2	-35111157411536237	1	"{""medscan"": 1}"
166	ACTN4	IncreaseAmount	7568	MYH10	13214604505048282	1	"{""reach"": 1}"
166	ACTN4	DecreaseAmount	7568	MYH10	-34186883522527976	1	"{""reach"": 1}"
583	APC	IncreaseAmount	19192	DOCK4	14173649782143990	1	"{""reach"": 1}"
9077	PLK1	IncreaseAmount	14064	HDAC6	-7308322594681576	1	"{""reach"": 1}"
8059	NUMA1	IncreaseAmount	14064	HDAC6	20262340518683624	1	"{""reach"": 1}"
3338	CTTN	DecreaseAmount	14064	HDAC6	-17057872396115742	1	"{""medscan"": 1}"
28611	RICTOR	IncreaseAmount	14064	HDAC6	7849227332420984	1	"{""reach"": 1}"
11393	AURKA	DecreaseAmount	14064	HDAC6	28668140147668293	1	"{""medscan"": 1}"
7765	NF1	DecreaseAmount	16862	RAPGEF5	-23936341783214208	2	"{""biopax"": 2}"
9077	PLK1	DecreaseAmount	6393	KIF2C	30708771067041551	3	"{""medscan"": 3}"
1148	BUB1	IncreaseAmount	6393	KIF2C	-16460863779001405	1	"{""reach"": 1}"
11393	AURKA	DecreaseAmount	6393	KIF2C	-19459756065439251	2	"{""medscan"": 2}"
9077	PLK1	DecreaseAmount	1249	TPX2	13003312420531083	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	11393	AURKA	-17513590073357852	1	"{""medscan"": 1}"
7733	NEDD9	IncreaseAmount	11393	AURKA	23783793190744562	1	"{""reach"": 1}"
7733	NEDD9	IncreaseAmount	11393	AURKA	19447286874322985	1	"{""reach"": 1}"
7733	NEDD9	IncreaseAmount	11393	AURKA	-11924974874517748	3	"{""reach"": 3}"
7733	NEDD9	IncreaseAmount	11393	AURKA	28786114798495334	1	"{""reach"": 1}"
7745	NEK2	DecreaseAmount	11393	AURKA	-22715510676356927	1	"{""reach"": 1}"
25515	CEP192	DecreaseAmount	11393	AURKA	10189150266617404	1	"{""medscan"": 1}"
14064	HDAC6	IncreaseAmount	11393	AURKA	26608806871181139	1	"{""reach"": 1}"
1249	TPX2	IncreaseAmount	11393	AURKA	26524327512003704	2	"{""reach"": 2}"
1249	TPX2	DecreaseAmount	11393	AURKA	-22448645499169266	2	"{""reach"": 2}"
7765	NF1	DecreaseAmount	1090	DST	-28775151256530807	1	"{""biopax"": 1}"
12733	WASF2	DecreaseAmount	25523	CCDC88A	3903872089573667	1	"{""reach"": 1}"
18538	NUSAP1	DecreaseAmount	16864	DLGAP5	-29040316823384101	2	"{""reach"": 2}"
11393	AURKA	IncreaseAmount	16864	DLGAP5	-31345155689011035	4	"{""signor"": 4}"
11393	AURKA	DecreaseAmount	16864	DLGAP5	-34926452918589822	1	"{""medscan"": 1}"
9341	PRC1	DecreaseAmount	6392	KIF23	-994357236335171	1	"{""reach"": 1}"
9077	PLK1	DecreaseAmount	6392	KIF23	23860374036024146	1	"{""medscan"": 1}"
14064	HDAC6	IncreaseAmount	12362	TSC1	-4734175068245946	1	"{""reach"": 1}"
14064	HDAC6	DecreaseAmount	12362	TSC1	-30875182126870451	1	"{""reach"": 1}"
971	BCAR1	DecreaseAmount	9718	PXN	24638814018340264	1	"{""reach"": 1}"
