A0A075B6Q5,A0A075B6S5,A0A075B6S9,A0A075B7B8,A0A075B7D4,A0A075B7E8,A0A0A0MS07,A0A0B4J1U7,A0A0B4J1V6,A0A0B4J1Y9,A0A0B4J2H0,A0A0C4DGB6,A0A0C4DH29,A0A0C4DH31,A0A0C4DH35,A0A0C4DH36,A0A0C4DH38,A0A0C4DH42,A0A0C4DH73,A0A0G2JMB2,A0A0G2JPR0,A0A0G2JQJ0,A0A1W2PQY8,A0A3B3ISR2,B7ZKJ8,B9A064,E7ETH0,F8W696,J3QLC9,O14791-2,O43866,O75636,O75882,P00450,P00734,P00739,P00747,P00748,P01008,P01009,P01011,P01019,P01023,P01024,P01031,P01042-2,P01593,P01619,P01706,P01714,P01721,P01762,P01763,P01767,P01768,P01782,P01817,P01824,P01834,P01857,P01859,P01860,P01861,P01871,P01876,P01877,P02647,P02652,P02656,P02675,P02745,P02746,P02747,P02748,P02750,P02751-11,P02751-4,P02753,P02760,P02763,P02765,P02766,P02768-2,P02774-3,P02775,P02787,P02788,P02790,P04003,P04004,P04114,P04196,P04217,P04264,P04275,P04278,P04433,P05154,P05155-3,P05160,P05543,P05546,P06312,P06396,P06681,P07225,P07357,P07358,P07360,P08185,P08603,P08697,P09871,P0C0L5,P0DP04,P10643,P10909-2,P12259,P13671,P15169,P18428,P19652,P19827,P20742,P20851-2,P22792,P25311,P27169,P29622,P36955,P43652,P51884,P61769,Q03591,Q06033-2,Q08379,Q5T985,Q96RP7,Q9UHG3,Q9Y6R7,Condition
17.95061223776119,25.77280714185727,18.98080551952682,20.11223065150632,17.06536826747282,17.68769414165099,20.21802925609523,21.62404098444572,19.87854683061709,19.59325222490054,15.97623358613437,20.66395011678074,18.69776952125515,18.192516574586,14.31156780638022,21.40785565100962,16.84851763921895,18.2380838251749,24.02130520190234,18.82905271338826,21.31628447376728,18.03586484127977,20.70333716874229,20.45114109663243,20.27451304733867,21.74899676914758,19.57057803691916,18.46439784737589,18.27726483715682,19.18694350985822,18.76305404939903,20.35926835869036,17.35853634173366,20.0143415499048,19.10068348255073,20.0621190644538,19.70591023095215,19.37689132898093,18.15597658158569,18.9484985615298,20.33156055836062,17.73453986801939,19.61558066164773,19.99071065570124,20.24719229086892,17.64065017355234,19.32272230474652,19.04228901523856,17.30401255911272,19.74805844324187,18.07517381779864,19.83369497435606,21.03630110626318,16.76209031643792,18.11678489265064,18.50178909975532,19.1302042306656,19.29509856502419,20.79046881924713,20.62258511597965,20.09058670523017,18.85779336837529,20.30274776742014,18.56930957534228,18.63300054230312,22.47664545543805,19.81108924585408,18.35717875756807,18.53549012889478,17.9084691192301,19.47758716452563,16.9250854394233,19.4039467736097,21.23200721239804,17.40429829991299,20.74492390027792,19.52648057843412,19.9202267865736,22.05246720205651,21.09417136261921,17.77531320614917,19.89785170995102,22.74590351220676,19.72789814133455,18.60176321952535,19.45333813745777,19.96729794433773,20.4188234510587,19.5487601165614,17.19023532784133,19.26890847934783,19.78856998255481,19.63642580738374,17.99494889028829,19.21277894989624,20.16662008880561,17.82096198777915,23.22631498355311,20.9256680534856,17.13188359697196,19.65817771665824,18.43075856129976,20.03835091989427,20.83093789805412,17.86607563982249,20.13875927468504,22.24160887425241,20.97926193517079,17.50076401666955,19.07029237080927,18.39430944762061,20.5869375379385,21.15435947342421,20.55296601651779,19.01062103680251,17.54605107198499,17.2486135606455,19.50349770167122,16.56987356419931,20.3876795438312,19.42800612711939,19.94442980792343,19.68147324301907,16.99273509824584,18.31671270911507,21.89659036472709,16.33381956571345,20.51961362370325,17.4522666679308,21.51031304346624,20.48524852003476,18.79554511000276,19.35085294198824,16.17086091957825,18.88943297101256,20.19138008253932,19.76939076194504,16.45310874318489,18.66589484599049,17.59483557033129,0
18.69266960342198,19.83449052148577,19.7792480998108,18.68340418005601,21.76361626287192,19.47637724286957,20.60262417442794,20.12085067655616,19.14168010939861,19.33898672151676,19.93894338105718,20.85087799068242,18.76353576453574,22.00235154124165,18.71254066884013,19.5010402733871,19.66882448192203,19.74060407096704,20.94252292694058,21.21177912101362,21.23699304559969,18.39315836301507,25.20923390892789,21.14394283804451,19.64051640464703,20.07392861967416,20.1129237346264,21.04837946864509,20.86578115842642,18.93890218283219,20.21256287334354,19.15051193515581,17.75593165965953,19.75278016022926,19.78536293510862,19.65469083488034,19.98219591353964,19.76659975045351,20.12915555175287,19.72765536214605,19.88907291998312,19.6994411219314,20.02800189422194,20.16428714120121,19.81323818966905,19.71417015050327,19.66149510044287,19.84123548231937,18.29503451778191,21.68373824014234,20.06553854012303,20.43050334779702,21.60599661095529,20.083140233788,19.90201688067446,20.42101568904992,18.35809226596336,21.03109848451044,20.35545123430813,22.9476329579967,20.5799612367544,20.2220918821508,20.92625992178304,20.301892835562,20.24924416143399,19.72081701319957,20.45172374673136,18.73141519909438,19.52257101007874,18.15500377877811,22.6087071950229,18.51689331357735,22.4514332201171,19.7592159298088,18.55963453748257,19.20048036306668,19.73458015115288,20.0127579108531,18.44940538055913,20.18798602663603,19.38917675594668,19.42174340292803,19.25252683660893,20.33818267288358,20.67796892395573,20.02010392183522,18.59105621226449,20.69045629458924,20.05797128479785,20.04280680485867,19.96069381907954,19.80572877684261,19.99799870244474,19.19227050992901,18.75362884676701,19.29515987545064,19.91628153050548,20.48399953714229,19.90946071721569,20.70173929288594,20.59138535311225,19.87010792648072,21.49940659283449,19.84842421555714,20.66461320866133,20.25854539911958,19.56494207425493,20.37333315878567,20.09992719239829,22.36487162045115,20.39136626684722,19.26172840895236,20.44100701557504,19.82054227805427,18.97071443537006,20.8223462609952,18.8260629327402,19.62721325805016,20.17314334611809,20.74120929910889,19.34811287242948,19.13041058293033,19.60007064460623,19.24224512321879,20.40123315103275,20.6379761810039,20.15515711420407,20.34681972634204,19.62096808219637,20.9593955472249,20.56912504517609,20.24088774777277,20.27518535750746,20.29237381970293,19.79777769136448,21.16280502489795,19.67596398689309,21.31708012629269,19.89534174255435,19.33035691779547,1
19.65370051572197,19.01826691710161,19.48442381920668,18.61526600789279,21.15022008179008,20.07390980852823,21.03387669248287,19.23177114523151,18.26432556489653,19.03883801619086,20.47960776984904,20.86234016086611,18.20637453629307,19.24155973938968,23.24676244162587,20.69412663013597,19.41121571811088,20.72143519313677,19.69997910727222,21.33378941711825,23.70203292377923,18.99779513173676,25.77280714185727,20.50378594438509,20.18441927087478,20.3666490472048,20.03402692654175,20.94199431196099,21.09053287888684,18.71148887765113,21.4292649717295,19.79517225787922,19.91799491907845,19.58973801311352,19.92606094098861,19.72210829282671,19.71520733595213,19.94907799812142,19.42712944056324,19.87736443423821,19.99512730105618,18.97849062008934,19.98681228700809,20.08350930568603,19.49348568066076,19.59690242544449,19.94166322578766,20.24719229086892,18.23715647868693,19.1357763408498,22.7635908141274,21.13100827376639,21.46149804790871,20.01057187576141,19.81846930062581,20.53728483445993,18.42688135479057,19.64579011561516,20.11435732721308,18.01279595105636,21.11027526557297,20.80556969938006,20.83210069464337,19.61152467041159,20.64049546094587,19.41932670314267,20.61495694856971,18.63667948989475,19.66071131954124,18.35429241123027,21.27520918531861,19.18176928152242,21.81592137192489,19.02888840239356,19.16364464703724,19.63911221173675,20.13121616977799,19.88347763151755,20.10722262177315,20.91050847192443,19.66829811841431,19.78252480378341,19.97880652735686,20.14088157175548,20.9252586342651,19.86997062579901,21.25082801812977,20.70684817029857,20.62682508972341,19.82605032445594,20.04166531833092,19.54619717620697,20.26604447008562,19.00740794149943,19.18983085870417,20.16823388294493,20.77863875598392,19.35975442955429,20.32101314092924,20.06522363818778,20.43568996672888,20.30165596880484,21.56875298378606,19.81087899984925,20.28272095136001,19.85422515047597,19.57481953034991,21.01509472098869,19.68401583756191,22.19459877797203,20.25643579587737,19.52391850918585,20.09315613769705,20.20046649216018,20.60339960465248,19.56748685116886,19.35131712570615,19.06645641727523,20.17672750528552,20.84736723189911,19.30542413644182,20.99618563788721,19.43531726138213,18.89825650294376,20.55768087211684,19.80275646218155,20.19230380934544,19.40352312561149,19.96412089950403,20.95951181907571,20.04953963261217,19.21541545440459,20.14997497401082,22.49408577751108,19.77630377332786,19.70799037631183,19.73634838988115,22.07103253125976,19.50876184011415,19.14642369871982,1
19.67522903445874,18.70843486186733,20.19798808621267,19.53733331621018,21.10025818485272,19.90557571594302,20.90123242504054,19.23464105020492,19.29091724880436,19.63828716201425,21.29295714403441,21.02364096610513,18.59186928955098,19.07769321522179,22.88719305109105,19.5135635859325,19.22613271150413,19.17476128493024,20.86806567039898,20.11119908618055,20.58122155459711,19.796001572014,25.77280714185727,20.38435111701385,19.61766732546577,20.18957034260541,19.71511501147981,19.8914092612881,20.54870901089103,18.27989599909655,22.18370429884367,19.30012641727255,19.7220927200389,19.57312036877411,19.58085432915818,19.52948766646204,19.74262709942864,19.42374200483551,19.77042785319598,19.87888843698542,19.73648638488313,19.37254359470233,19.89809182906862,20.17390371860919,19.6102360085341,19.44027569878602,20.53809780551546,19.93640249589979,17.7816725479323,20.01385284960526,17.82760275808337,20.2358383717228,22.56207717855262,20.64300820037595,19.62429084539549,21.90357240101659,17.97012972354209,20.61662694123779,20.73763543535315,21.51777602179465,21.05977845169163,20.56980073930657,20.88470054355142,20.30979088426697,20.37485212892726,19.87176569819325,20.34706757624345,18.83811633447514,19.16577464170595,18.99825162537016,20.9312978410653,19.44911331646802,21.71429980082721,19.45678304752632,18.87732374595621,18.81703078215907,19.69972823466487,19.14844826328963,20.59316268545327,20.68457188080098,19.60295504852097,20.24502385749467,19.55121288897793,19.95173192572864,20.51499747756153,19.97460677022893,18.77255919012321,20.85219394971414,20.28087084524639,19.43177372191659,20.06970583303649,19.39944278307382,19.80389930430344,18.30620131657684,18.86664101752182,19.50642348757362,20.80982881693869,19.78942818166257,20.31945040123372,19.48124052932948,20.26393114474616,19.81965099525778,20.49283447553368,19.46521898918318,20.15511719815417,19.69243041493059,18.94637181889535,20.41512378788901,20.18204853849861,21.4500279914769,20.29978073751425,19.30916636463088,19.96708377218787,19.84889030775904,18.76225981213783,19.49039766335693,19.68350475673837,19.49899818357641,20.22583242706322,20.55868217578406,19.2095823860354,20.21569171423616,19.03972421163272,20.12795479424291,20.14686877418927,20.08941466247059,19.76259281445927,20.10447707104849,18.90811178743963,20.67025409280733,19.91295811556762,18.72883384859514,19.81199278629095,22.48325873192882,19.83434418669184,22.05912395531657,19.36382405461761,21.04218478426961,19.35532342845285,18.75193843279011,1
19.91203721085452,19.35261605997562,19.89803210196038,18.23456146708613,21.38579801153953,21.15490427512584,20.74173921411292,18.73750663105333,19.78921278850239,20.14668537655441,19.53169437866896,21.20257222445506,19.16598453415666,18.30887880839049,20.01397440867136,19.53906719246017,19.59361708351307,18.38113349470029,19.78333193307078,19.18328514138017,20.22009525947833,19.42478357082717,25.77280714185727,21.48301945957334,19.7714232637609,19.48711018876649,19.64669750724583,20.17993618656542,20.83556989726001,19.19076837394688,22.38241433640493,21.00880429043116,17.36002423836492,19.62105687195904,19.55196624897073,19.23941739358713,20.07445145493898,19.32658357601563,20.1288073216878,19.94139854953938,20.13748547567524,20.36941499622945,20.31715956203711,20.02914250626126,19.68299943904012,19.43237666745075,20.22957249185247,20.20254936427748,17.8202182047969,21.35604508808781,22.70951325097228,21.08069865341058,22.18590264909636,20.71675202644562,20.49980187894167,20.18693871270212,18.9409886585742,20.84987211912432,20.52019834702951,19.06472361227728,21.17815092999375,20.55153402240128,20.56126296686871,20.62726754272037,20.45527448498137,19.11995591820408,20.19486721441944,18.56757141394572,19.15755616192836,17.69715509423235,22.31172197330768,18.68907005985248,21.11775421836429,20.39635143406551,19.04794243629632,18.03432303261307,19.83160471327018,19.44039367344949,17.92891341751443,21.04412849932531,19.5797461315539,19.85157820020192,20.12059769946561,19.73926746270918,19.77735942700959,19.97684180581193,18.90545660155032,21.13795797034967,20.10630342840438,19.80253818112679,19.73312309493294,19.65430165048884,19.86611510150898,20.23889223666031,18.96212100907368,19.94847946191454,20.44592194550956,20.05127459153562,20.60502952857543,19.87354349447516,20.66623680863368,19.92658379675244,20.5101068359551,19.56577854423601,20.77092284612326,20.28092751697066,19.69153962450581,20.3779926046823,19.817515381724,22.24665064288906,20.26511962084675,19.51649139866523,19.97001823530127,19.8584101553292,19.91884661938658,21.27569556223481,18.26143832964296,19.44875104296696,20.82173649647248,20.79717654244474,20.11281029207577,20.02141078115018,19.49552056501905,18.67950318844692,20.43505093125121,20.33459385428088,19.1109660683365,19.90502313325627,18.95097780975303,20.5420460000398,20.58264334541144,20.15436994621984,20.30804092808365,22.06854740826881,20.38695824125168,21.66037715142832,19.40233762322993,21.69952263455849,19.38477640677268,18.8200153796163,1
17.81980936110034,18.76369245429449,20.28028801930136,19.67753867613404,21.28278252165104,19.89640037985992,20.83829417662733,19.27554050657272,19.1784307075847,19.79604734124341,21.15525835555042,20.96586383972522,20.40137883934698,20.78455780633279,20.06432199589455,20.48721874129242,19.84814139671427,20.09212883530233,19.84069941731362,20.85298258348091,20.88504334904971,20.05668224588922,25.77280714185727,20.64770878385666,19.81176804009825,20.15680411183261,19.50444138378455,20.94825081920068,20.71353827440451,17.94678722155514,19.82679225994519,19.31037617685983,19.68615596481048,19.61379015140801,19.3194915900069,19.40726100448803,20.23605718888161,19.34722159705652,19.60643911206712,19.99472920573096,20.04097466689845,19.78958309905084,19.88375909649896,20.01736957003775,19.80380309185436,19.28317295315001,20.12988415619669,20.35421101021007,18.65777797114157,19.37262110847472,23.70901789655812,21.13732208718051,21.57496487966159,20.33637497166148,19.77094119602252,21.69168889807048,18.71100983286272,20.60954531774466,20.6744756366893,21.6110844113747,20.9158518154126,20.79774859986815,20.93075205039954,20.75479263268877,21.00235651410572,19.62078230669293,20.49915327636764,18.94439190934464,19.0461871083595,17.83480299014234,21.97261834105152,18.19591063966027,22.07805204789265,19.74361552863154,18.98594205921448,18.38008538139164,19.85476577994697,19.09362543800035,19.4636179104216,20.98409981489934,19.53463885734507,20.20692698077723,19.12166036113479,19.72350050005689,20.44260273818508,19.73075098355264,19.42299287852613,20.8236220759966,20.11316109134771,19.51890429827179,19.64764488213978,19.59918905243537,19.94899972800205,19.49686240122984,19.22046092020971,20.14860150538123,20.253808257993,20.02561538287813,20.53229310284146,20.1392256810917,20.46291304419695,19.63423980494024,20.55302843677415,19.45547287513575,20.6994211523815,20.08217780783852,18.66935728360095,19.94162861427827,19.6555051283764,20.68789279570397,19.83378608830083,18.97649398183039,20.1987374102851,19.43083657228636,20.09971022643649,19.51152708138784,18.46120502069622,19.41485529509697,20.04874101767387,20.38187229034812,19.24801798853159,19.19541344059929,18.87673637165581,18.3042755820801,20.6335558562881,21.20522947644642,19.81929372035902,19.88994403823173,19.54211642966476,20.50994985557106,20.01005204108915,18.89667029750852,20.1213799824687,22.20102053468022,20.22623032704601,21.77449870257916,19.16952634746981,21.09643039862177,19.52690477451479,18.35657954716612,1
19.40547042754989,18.9286838977732,19.93152909348611,18.39188769322326,20.34738102358148,19.36487342775044,20.52108663251725,19.65149840622606,20.27056492138914,19.18356282239809,18.28518451544164,21.03035446372498,19.53196645575402,19.70931737388018,21.85305748555127,19.16663254820225,19.57885869909343,19.25752725491127,18.82925374345986,21.30172582971391,22.5609579452838,19.07683140010549,25.23517090867469,20.97821886048599,20.06816707855162,20.30429307531322,19.72888012582224,20.99531894411546,21.32886917799965,18.99486213670817,19.67223223050706,19.48861891683828,18.60226134944906,20.00266460780283,19.74721991151383,19.79621538104258,20.46700474199828,20.31331798482093,19.70159097665292,19.87272760644845,20.11369989597894,19.51713549917622,19.89666156718706,20.20946073612562,20.15440604495697,19.75291953508528,18.94708499974338,20.36439341907733,18.45598111123983,20.62553655560826,22.6442167206174,19.87917392731789,22.33448627338018,20.0536094828671,20.33911065092368,20.2368605668692,17.86056636435944,20.10715216124379,20.61456802232972,22.48878563856486,20.84247849072743,20.92889800963585,20.56113829231832,20.09421354445319,19.93884988574817,19.1988720191923,20.10115792847527,18.40300226558217,19.02346663741232,18.29741605494182,22.15130382972456,18.11458507743365,21.76199290098783,20.39975532706496,18.85529692378662,19.64447362916948,20.17186382813769,19.65826381930415,19.28089591029286,20.76517332209478,19.60594606056007,21.27394402003006,20.96126608355713,19.95983530516639,20.5111334941136,19.67928893372406,19.34053912124497,20.80400027530028,20.59294873040503,20.14692852591699,20.21840788197191,20.33057958778325,19.77282591260131,21.08298051681678,18.89336421684639,19.98799700685734,20.53206145369448,19.973846592176,19.82505575599142,20.28635462006074,20.73758367940986,20.19400568588916,20.25330369927726,19.61276974089519,21.11937126093859,20.42795056729063,19.55888868950387,20.39026458168636,20.49029060487993,22.41011555285565,20.54238214025393,19.42739586686778,20.02446623111196,20.32217243698251,18.90272089673325,19.75911612890979,19.34918350095757,19.4349896021045,19.81094289391232,20.94497604779042,19.51049333769117,18.68202148772133,19.85787973778655,19.35706603494873,20.8558780191585,20.63788958015716,20.04606958777619,19.94602128477413,19.26609441419813,20.77909490287076,20.27818199256507,19.24821049971127,19.625344487665,23.32832134779905,19.56530544154764,21.68512593197785,19.86540883179412,21.80576362078417,19.30642135337264,18.64963325307567,1
19.45328762491715,19.06445793118533,20.77071295257144,17.9604531383235,20.88151689076825,19.18460803777159,21.10435586645867,17.76844816643287,20.12085067655616,19.93894338105718,20.32941013885045,20.99473788085809,18.56997111438127,21.40258059296769,20.65183490413908,19.99799870244474,19.42174340292803,19.68397666316846,20.24088774777277,20.46093229249177,21.9051468134106,19.5376349884959,24.55549837720176,20.62517833593872,19.76659975045351,20.44100701557504,20.17314334611809,20.86578115842642,20.91198956926657,19.57898082488612,21.85864268815245,19.44590326631536,18.94884804096425,19.7592159298088,19.91628153050548,19.88907291998312,20.21256287334354,20.33818267288358,20.60262417442794,19.83449052148577,20.2220918821508,19.62096808219637,19.84842421555714,20.03541410921115,19.94635957173704,19.55824265467403,20.04280680485867,20.53899189025845,18.27044781741058,19.97518498838971,22.52804164599338,21.06618700843989,23.48865528624589,19.66882448192203,19.35631864625652,20.94252292694058,19.27034197206934,20.36446838002973,20.8223462609952,22.80049956778296,20.75572027473183,21.34230454309819,21.26217302344838,20.51686386713962,20.43050334779702,18.6195800471116,20.12915555175287,18.66099180556499,19.26172840895236,18.34445897357891,22.17123604367918,18.84464112025523,22.9476329579967,19.74686353913989,19.33898672151676,18.11793983216333,20.05797128479785,19.57164419007317,21.21177912101362,21.08570080505652,18.71254066884013,19.77338750991876,23.11198414937065,20.24924416143399,21.76361626287192,19.78536293510862,19.3644233607874,20.67796892395573,20.72905444134517,19.4137445760674,20.1129237346264,19.73458015115288,19.64051640464703,20.15515711420407,19.32127571605714,19.19227050992901,20.50660406469914,19.89534174255435,20.00509394734429,20.42101568904992,20.13804822867061,20.10630342840438,21.49940659283449,19.54439802834289,20.70173929288594,20.40123315103275,18.80514933375152,20.18798602663603,20.23167757977765,22.29702345794141,20.49602643112267,18.91206104326636,20.35545123430813,19.88315492065012,18.81579312575218,20.28357417107882,19.25252683660893,19.53015621816652,20.74120929910889,20.89771426981809,19.96811444711802,18.79422501965598,19.34811287242948,19.20881012686114,20.7157127533975,20.34681972634204,19.87724450186106,19.92379502698914,19.24224512321879,20.54902981378459,20.02800189422194,21.12377442018715,20.92625992178304,19.61423966739149,19.6994411219314,20.0504552766052,19.11136049512928,21.57159304254542,19.87010792648072,19.04737479293367,1
19.69683369901287,18.68175712461291,19.3136355326868,18.64673889497412,21.0790375659983,18.70084558232403,21.00219301364845,18.63658558091863,19.62156373011099,19.14312640479741,19.78068710672732,20.92940239740714,18.27081423166189,18.51762615590144,17.94523586969081,20.32679989397417,20.30745630146636,20.37287066484008,20.66813383999149,20.45481727909524,23.43529867944791,18.59514877759101,25.77280714185727,20.86592205899237,19.51761669713645,20.402188618116,19.62825307736059,21.75372705031814,20.26164383280663,17.5896735868382,19.94923769724388,18.87086796582462,18.19950760326509,19.55554348510534,19.8318359230166,18.86025216809616,19.87666161362656,19.99593955833408,19.63538192395375,20.22326154115047,18.94011102886747,19.09242852963601,20.34504267076224,20.14419374560778,19.43610814442018,19.67218695126219,19.52583144429723,20.18736426864605,17.4160004865056,19.22174407522152,20.31720009079741,21.0982383424972,21.34719869844848,19.74670575088649,20.57915842464488,20.89933172094785,18.33511798687583,20.39185807706607,20.53596079443646,21.90125455532621,20.68258392253206,20.36350661924525,21.48036558035322,19.98757324528636,20.65491922749898,19.07181745156768,20.4445471027306,18.36294246300386,19.70427057476927,17.57399247128199,21.26309475853525,18.90176251508474,21.0402323530029,19.38529482656539,18.16174146629371,19.6070408273922,20.10264252374929,19.80062096217648,20.46505358432051,20.76553302653657,19.65704950171941,20.80787540280392,20.11679807752134,19.9028414115599,20.09525220312127,19.77450647954088,21.4136668883443,20.61470713707027,20.25150765990487,19.61458360759186,19.8464348360235,19.35097054907372,20.03531602704931,20.42290710873383,18.55130724135907,18.74465686354407,20.28770951544444,20.69478595136551,20.15277734273937,20.19585856096201,20.08622603896235,19.91054855033536,21.7119933809856,19.72636634618559,20.5129630353508,19.85312207240735,19.37689132898093,19.59237607338929,19.67996073485472,21.44770311905215,20.05116909358494,19.73373597328913,20.04309384904048,19.32297583617227,19.46960121611708,19.56976266663096,19.17895937750477,19.06218343997913,20.16198615974486,20.64056087324133,19.16984075495975,20.20410890378785,18.73233165154837,18.77621003796141,20.29735364578605,20.62671685996934,19.97221838847332,19.8168085901221,19.93372799021122,21.55523661107989,20.35405233243656,19.39472936303781,19.75976080691437,22.31563883113508,19.75294618278503,19.35952861924506,19.53374098940796,20.91427237419469,19.36811522940956,19.28595183438943,1
19.36842127135233,19.30698143849508,20.11304061483008,17.42981156262748,20.88323756049052,18.11325269715908,20.68919396559271,20.17412425954817,20.28630102682662,18.2933697207529,18.6334158480752,20.89946307758505,19.65509181273825,18.04817888722733,23.47297870743699,19.8584101553292,19.37689132898093,18.89960106681233,19.76895449261588,21.19584282006136,22.51454817987011,19.25527203175521,25.77280714185727,20.44764242777505,19.74837986390425,20.04961113394962,20.24294372891893,20.40611150216087,21.14940972469769,18.89014164259261,21.93726256576555,19.62087660183483,19.8926878583999,19.55716240986974,19.41056580064603,19.44252436737165,19.96605463328592,19.41841308085244,19.78743050887885,20.10630342840438,20.09982035309892,20.0036975836992,19.86634671992725,20.1480136191875,19.98835495697222,19.6341355082408,19.59259437376583,20.27769803187567,17.17400529418873,18.99691178691367,19.98028926193452,20.42615648029139,20.33270950658375,20.96258069125915,19.48193691411185,20.18923371733073,18.31831829165669,20.75526348130154,20.83735856553148,22.15609436129114,20.55574328450105,19.89924564820512,20.49182890328662,19.88630851274636,20.6230637543743,19.58547395971175,20.36861678728197,18.76868642736011,19.62721325805016,17.94081864115086,21.88958723259434,19.34308783288255,22.43550560917748,19.15133728724548,18.9185513187014,18.3434238097699,20.0115045494646,20.54638653788057,18.90959206794531,20.82297450323074,19.26437991731337,20.98048362197093,19.67670533639891,20.19740825210901,19.92878200733048,19.9586878015951,18.06126429222843,20.56634658213634,20.64984989949475,19.72917972117202,19.36011842735018,19.81621278232545,20.32403714371667,20.12111131961915,18.84150638286172,19.33407257764854,20.18199630579626,19.6934448078545,19.39406550333358,19.66204282611933,20.77049669860896,19.88052992213195,20.46723728337081,19.60676012287452,20.94536241879836,19.94411749645356,19.61401831482387,20.67624874461999,19.78130514174916,21.55684796520242,20.15596813576358,19.23481413289234,19.80054498846516,20.04189757731228,18.7173986247617,19.95121915724186,18.6770662053438,19.08385048381508,19.82367227117458,20.63578296734333,19.53615938441149,20.13862803478706,19.27293829804745,18.87983046961199,20.31469467652423,20.66294040868983,20.35045804044591,19.93640249589979,18.65378336039904,21.30013031643306,20.12951433424414,18.56176980385003,20.26974308711062,22.92795303339341,20.06493948425295,21.09085453705537,19.28924806402769,21.66749012823174,19.52076881160412,19.12107499689596,1
