DHX15_HUMAN,G3P_HUMAN,HSPB1_HUMAN,ENOA_HUMAN,NPM_HUMAN,HS90A_HUMAN,HNRPC_HUMAN,HS90B_HUMAN,ANXA5_HUMAN,H14_HUMAN,CH60_HUMAN,KPYM_HUMAN,ENPL_HUMAN,PGAM1_HUMAN,NUCL_HUMAN,RL13_HUMAN,CALR_HUMAN,S10AB_HUMAN,MYH10_HUMAN,RBMX_HUMAN,LPPRC_HUMAN,RL28_HUMAN,SYAC_HUMAN,HNRPM_HUMAN,RS23_HUMAN,TYB10_HUMAN,RS4X_HUMAN,H4_HUMAN,RL23_HUMAN,HNRPU_HUMAN,PSME1_HUMAN,EF1A1_HUMAN,PARK7_HUMAN,BioReplicate
,,,10.4135566697645,,10.2575211377358,9.6681338662659,10.624916233092,,11.0818090762728,10.2743394845112,8.97754701604465,9.28850405812199,10.8705867586005,10.8009054255743,11.4073549094793,9.76789128497563,10.05595272919,7.90882960574637,10.1004332511709,8.23699428272433,,,9.84793647639097,11.2150998761447,13.1896187396064,,10.6528238206307,10.6340814895719,10.3759844332352,9.75148931262481,,9.99158434378872,0
,,10.061446141311,11.2443883004003,,10.6301789141072,9.7122918462466,,9.65520762142476,11.9280393565993,10.2961370055321,9.2362777963841,9.6364088032649,,11.4670730282343,10.6169133598545,9.56680918091812,,8.84314393644082,9.8960649127986,8.73363933029995,11.154925214411,9.79610885827637,10.0283743373647,10.7755883928723,,10.3060055848847,11.0620881860718,10.745291262162,,9.7164168445582,,,0
,7.6707738626163,9.75898581519958,,8.86009588640684,9.90827189818233,8.65805429592807,10.5606156147677,9.95608023706616,10.673638858755,,,8.94757800209916,11.1601888889454,8.83806129474635,8.20221173190767,7.65128709420502,7.74372403232847,,9.02363258959738,,,9.56625049269941,,,11.7272412437175,8.91454562351817,6.8920777923637,,,8.63023187421712,,,0
9.376285763246,8.37417677049456,9.68399812218738,,10.14419970431,9.5903124292878,,10.6876776847658,,11.1388250842301,,8.26397467004364,9.10226248426896,,,10.8556263404444,,9.63507148579215,,,8.59285188650832,11.0269314938183,8.71903648314548,,11.1389345934836,13.3864570873816,10.2889004281336,11.0108118748023,10.2402718533032,9.98946975596697,,,8.66903821321675,0
7.9225322185781,9.05564086333488,,10.0078142992441,10.6125515398369,9.47882307728432,9.23988686936575,10.4781294932661,,10.8429065981494,,9.39934426148049,9.4668254160197,,10.8251974035113,,9.48402980233316,9.64781935982794,7.85050483358205,,8.627568766369,10.9998105415373,,9.13641731046008,,12.8902508285352,10.3049509042422,10.9760708101185,,,9.18235994647021,9.34874690300802,8.99603562628915,0
10.6413294723331,9.10518414699002,10.0652260448781,11.3261187286657,11.8765090548162,10.4904176460014,10.6047194458807,11.3724165109025,8.92996328860095,11.6487281645942,10.7692218453357,10.1062299971006,10.5290522525594,12.4093594418905,11.4823885185631,11.679144226084,10.0388269603684,10.8643057244286,9.27471224538466,11.139105315116,10.18465018757,11.9009233888111,9.24512863103425,10.5990211086473,12.2852555330839,13.6918480792925,,11.5602060583154,12.313921235351,10.6888779094288,9.78094296996161,,10.2471512858586,0
9.31448977479781,9.86419081826015,10.1094915891403,11.2881411965102,11.4596307276371,10.4783112581974,,,8.87191359544909,,10.7747792552998,10.7290599745898,10.1889905112693,12.4761870553887,11.3775431385273,10.8005635630539,10.4291159852747,11.5314586219926,8.47852112268028,10.7743221142958,,11.6521557679147,11.4199308187003,11.3095375830018,11.6419915718238,13.9698582625515,11.1850215488581,12.2085243768875,11.7002064722294,10.5491665637862,9.98611956616861,10.2167892647668,10.4107103578412,0
9.60306168789952,,,11.7261366060513,,11.0707612300715,10.422029473283,11.3128047430537,11.1752016443831,12.2664390082138,11.2619642182337,10.5975877832644,10.8112105492107,11.7684014849687,,12.2067134148466,10.4003508847977,11.3995137815693,9.4809569859213,11.0251520746632,10.0877322794235,12.1887941087985,10.5597742098854,11.4978826994853,12.0927054411853,14.2646003338425,11.4698994683329,12.8159078567038,12.0503244848888,11.3389815962156,10.4593039557486,11.2396703936391,10.2523755221952,0
,9.59484898264051,10.7882513482391,11.1895140160895,11.2497660382465,10.7384595887671,10.3749977270316,10.7976339654958,10.4216549505408,11.8178521404799,,10.0773639025156,,11.2017308617742,11.3204723005351,11.1071389002063,,10.5994847116311,9.01882345323085,10.5315203388611,9.92526279020162,11.7447696285998,,10.6507235626402,11.0070073714981,13.3287808566878,10.408141544251,11.7327538621463,11.6460251563776,,,,,0
14.1151686846381,10.3014166567968,12.7045065916252,11.9640121524875,13.0870686872914,11.7984400543525,15.2256788330551,,14.7319796164171,,12.827952666695,,,14.2656191614098,11.9558466090295,12.4038728517267,12.1056875373302,13.7716013191383,12.0806665280376,13.9749337027837,,,12.3204823191306,13.1555340222778,14.0478365115146,16.2366849856807,12.4267340903542,13.7263790874456,13.5638594552632,12.2134151149112,,11.9798352166536,12.3993132482694,0
