,Sample Size,PP Accuracy,PP min,PP max,Accuracy,min,max,CO Accuracy,CO min,CO max,TVAE Accuracy,TVAE min,TVAE max
0,5,0.47992565055762076,0.24907063197026022,0.7657992565055762,0.5063197026022304,0.2379182156133829,0.7546468401486989,0.5142007434944239,0.24907063197026022,0.7546468401486989,0.48565055762081777,0.24907063197026022,0.7657992565055762
1,10,0.4332713754646841,0.24535315985130113,0.79182156133829,0.48163568773234194,0.24907063197026022,0.7657992565055762,0.5154646840148698,0.24907063197026022,0.7657992565055762,0.4327881040892194,0.24907063197026022,0.7657992565055762
2,20,0.4061338289962826,0.24535315985130113,0.7546468401486989,0.5436059479553904,0.24907063197026022,0.7695167286245354,0.44784386617100375,0.24907063197026022,0.758364312267658,0.4309665427509293,0.24907063197026022,0.7695167286245354
3,30,0.3989219330855018,0.24535315985130113,0.7546468401486989,0.5214869888475837,0.24535315985130113,0.7546468401486989,0.46431226765799266,0.24907063197026022,0.7806691449814126,0.41223048327137546,0.24907063197026022,0.7620817843866171
4,40,0.409368029739777,0.24535315985130113,0.7472118959107806,0.5071747211895911,0.24907063197026022,0.758364312267658,0.49364312267657995,0.24907063197026022,0.758364312267658,0.39776951672862454,0.24907063197026022,0.7620817843866171
5,50,0.4302230483271376,0.24907063197026022,0.7620817843866171,0.5127881040892194,0.24907063197026022,0.758364312267658,0.49189591078066913,0.24907063197026022,0.79182156133829,0.3911152416356877,0.24907063197026022,0.7509293680297398
6,60,0.4641263940520446,0.24907063197026022,0.758364312267658,0.5442379182156133,0.24907063197026022,0.79182156133829,0.524460966542751,0.24907063197026022,0.8029739776951673,0.40342007434944244,0.24907063197026022,0.758364312267658
7,70,0.45007434944237923,0.24907063197026022,0.7546468401486989,0.5540148698884759,0.26022304832713755,0.7695167286245354,0.53817843866171,0.24907063197026022,0.7695167286245354,0.42710037174721194,0.24907063197026022,0.758364312267658
8,80,0.45877323420074345,0.24907063197026022,0.7546468401486989,0.5776579925650557,0.24907063197026022,0.7657992565055762,0.5444609665427509,0.24535315985130113,0.7695167286245354,0.41014869888475836,0.24907063197026022,0.7657992565055762
9,90,0.48141263940520446,0.2379182156133829,0.758364312267658,0.5725650557620817,0.2527881040892193,0.7881040892193308,0.5892193308550187,0.2527881040892193,0.7732342007434945,0.41605947955390327,0.24907063197026022,0.7509293680297398
10,100,0.49386617100371744,0.24535315985130113,0.7509293680297398,0.6231226765799256,0.25650557620817843,0.7806691449814126,0.5723048327137547,0.24907063197026022,0.7657992565055762,0.42613382899628255,0.2527881040892193,0.758364312267658
